Invoice_ID,Date,Region,Category,Spend_Baseline_USD,Actual_Spend_USD,Savings_Achieved_USD,Savings_Percentage,Status
INV-10012,2025-02-03,EMENA,Software Licenses,16614.25,14543.18,2071.07,12.47,Completed
INV-10828,2025-02-03,Americas,Software Licenses,15104.97,12862.31,2242.66,14.85,Completed
INV-11244,2025-02-03,Asia,Raw Materials,304313.11,295641.14,8671.97,2.85,Completed
INV-10809,2025-02-04,Asia,Raw Materials,172076.65,158233.96,13842.69,8.04,Completed
INV-11315,2025-02-04,EMENA,Professional Services,89430.02,81389.74,8040.28,8.99,Completed
INV-11320,2025-02-04,Asia,Software Licenses,7215.1,6368.57,846.53,11.73,Completed
INV-10007,2025-02-05,Asia,Raw Materials,448453.29,418401.29,30052.0,6.7,Completed
INV-10096,2025-02-05,Asia,Office Supplies,684.81,623.69,61.12,8.93,Completed
INV-11266,2025-02-05,Americas,Software Licenses,19553.7,17534.35,2019.35,10.33,Completed
INV-11304,2025-02-05,EMENA,Office Supplies,3600.61,3299.89,300.72,8.35,In Progress
INV-11344,2025-02-05,Americas,Software Licenses,9404.86,9209.37,195.49,2.08,In Progress
INV-10800,2025-02-06,EMENA,Raw Materials,327198.58,289362.38,37836.2,11.56,Completed
INV-10984,2025-02-06,Americas,Marketing,39822.18,35746.69,4075.49,10.23,Completed
INV-11290,2025-02-06,Asia,IT Hardware,40364.3,34694.78,5669.52,14.05,Completed
INV-10502,2025-02-07,Asia,Software Licenses,15712.96,13669.61,2043.35,13.0,Completed
INV-10934,2025-02-07,Asia,Marketing,62741.04,58848.43,3892.61,6.2,Completed
INV-11271,2025-02-07,EMENA,Logistics,9001.29,7662.94,1338.35,14.87,Completed
INV-10209,2025-02-08,Americas,Software Licenses,4296.48,4125.17,171.31,3.99,Completed
INV-11074,2025-02-08,Americas,Logistics,9666.83,8674.94,991.89,10.26,Pending
INV-10671,2025-02-09,Americas,Marketing,33388.89,30170.26,3218.63,9.64,Completed
INV-10673,2025-02-09,Asia,IT Hardware,27582.66,26532.7,1049.96,3.81,Completed
INV-10778,2025-02-09,Asia,Professional Services,57611.87,50960.06,6651.81,11.55,In Progress
INV-10006,2025-02-10,EMENA,Marketing,39456.87,38027.45,1429.42,3.62,Completed
INV-10792,2025-02-10,Asia,Marketing,27529.49,24363.53,3165.96,11.5,Completed
INV-10909,2025-02-10,Asia,Office Supplies,4926.51,4329.16,597.35,12.13,Completed
INV-11037,2025-02-10,Asia,Software Licenses,14072.9,13229.01,843.89,6.0,Completed
INV-11338,2025-02-10,EMENA,Professional Services,31275.67,28907.95,2367.72,7.57,Completed
INV-10181,2025-02-11,Asia,IT Hardware,27062.1,23320.46,3741.64,13.83,Completed
INV-10417,2025-02-12,Asia,Logistics,17793.96,15495.23,2298.73,12.92,Completed
INV-11088,2025-02-12,EMENA,Marketing,41438.15,40502.14,936.01,2.26,Completed
INV-11106,2025-02-12,EMENA,IT Hardware,23029.78,20688.15,2341.63,10.17,Completed
INV-10023,2025-02-13,Americas,Software Licenses,2100.58,1818.81,281.77,13.41,Completed
INV-10839,2025-02-13,Asia,IT Hardware,9103.61,8085.74,1017.87,11.18,Completed
INV-11109,2025-02-13,EMENA,Marketing,49476.53,46380.02,3096.51,6.26,Completed
INV-11296,2025-02-13,Asia,Office Supplies,2609.32,2280.88,328.44,12.59,Completed
INV-10263,2025-02-14,EMENA,Office Supplies,833.23,797.86,35.37,4.24,Pending
INV-10873,2025-02-14,EMENA,Professional Services,93910.36,83644.38,10265.98,10.93,Completed
INV-10743,2025-02-15,Asia,Professional Services,91803.08,84218.79,7584.29,8.26,Completed
INV-11018,2025-02-15,Asia,Professional Services,15950.42,13640.6,2309.82,14.48,Completed
INV-11123,2025-02-15,EMENA,Raw Materials,271777.92,254358.86,17419.06,6.41,Completed
INV-11219,2025-02-15,EMENA,Raw Materials,125670.2,120803.69,4866.51,3.87,Completed
INV-10703,2025-02-16,Asia,Software Licenses,10837.11,9582.17,1254.94,11.58,Completed
INV-11218,2025-02-16,EMENA,Logistics,2914.16,2655.89,258.27,8.86,Completed
INV-10070,2025-02-17,Asia,IT Hardware,17770.39,15881.38,1889.01,10.63,Pending
INV-10348,2025-02-17,EMENA,Professional Services,68203.53,58662.58,9540.95,13.99,Completed
INV-10431,2025-02-17,Americas,Professional Services,62376.0,54082.61,8293.39,13.3,Completed
INV-10684,2025-02-17,Asia,IT Hardware,44498.87,40534.65,3964.22,8.91,Completed
INV-11199,2025-02-17,Americas,IT Hardware,11594.9,10721.34,873.56,7.53,Completed
INV-10185,2025-02-18,EMENA,Logistics,14879.4,13704.6,1174.8,7.9,Completed
INV-10219,2025-02-18,Asia,IT Hardware,40515.21,36295.56,4219.65,10.41,Completed
INV-10319,2025-02-18,Americas,Office Supplies,2424.66,2272.8,151.86,6.26,Completed
INV-10586,2025-02-18,Americas,Professional Services,82143.65,77161.48,4982.17,6.07,Pending
INV-10595,2025-02-18,Asia,Office Supplies,2022.35,1844.38,177.97,8.8,Completed
INV-10963,2025-02-18,Americas,IT Hardware,30096.97,28744.19,1352.78,4.49,Completed
INV-11119,2025-02-18,Asia,Logistics,28921.22,25575.22,3346.0,11.57,Completed
INV-11030,2025-02-19,Asia,Office Supplies,1854.83,1652.45,202.38,10.91,Completed
INV-10116,2025-02-20,Americas,Professional Services,61176.65,59474.11,1702.54,2.78,In Progress
INV-10538,2025-02-20,Americas,Professional Services,35231.2,32274.93,2956.27,8.39,In Progress
INV-10811,2025-02-20,Asia,Logistics,10784.41,10034.99,749.42,6.95,In Progress
INV-11057,2025-02-20,Americas,Logistics,20896.4,18771.48,2124.92,10.17,Completed
INV-11178,2025-02-20,Americas,Marketing,38113.84,34844.95,3268.89,8.58,Completed
INV-10008,2025-02-21,EMENA,Office Supplies,1802.25,1747.51,54.74,3.04,Completed
INV-10720,2025-02-21,Americas,Marketing,5631.4,5025.27,606.13,10.76,Completed
INV-11072,2025-02-21,Americas,Raw Materials,225635.36,204328.61,21306.75,9.44,Completed
INV-11274,2025-02-21,Asia,Software Licenses,4392.29,4292.17,100.12,2.28,Completed
INV-10216,2025-02-22,Americas,Raw Materials,264033.06,253574.2,10458.86,3.96,Pending
INV-10669,2025-02-22,Americas,Logistics,35498.98,34604.85,894.13,2.52,Completed
INV-11176,2025-02-22,EMENA,IT Hardware,40174.36,36186.84,3987.52,9.93,Pending
INV-11325,2025-02-22,Asia,Office Supplies,2852.94,2550.16,302.78,10.61,Completed
INV-11333,2025-02-22,EMENA,Software Licenses,8810.84,7755.47,1055.37,11.98,Completed
INV-10245,2025-02-23,Americas,Office Supplies,804.02,762.74,41.28,5.13,Completed
INV-10472,2025-02-23,EMENA,Office Supplies,3457.87,3007.06,450.81,13.04,Completed
INV-10781,2025-02-23,Asia,Raw Materials,211083.51,194274.15,16809.36,7.96,Completed
INV-10533,2025-02-24,EMENA,Raw Materials,314570.36,277265.76,37304.6,11.86,Completed
INV-10580,2025-02-24,EMENA,Raw Materials,373444.8,360260.15,13184.65,3.53,Completed
INV-10714,2025-02-24,EMENA,Office Supplies,1623.63,1460.59,163.04,10.04,Completed
INV-10937,2025-02-24,EMENA,Software Licenses,11272.01,10414.63,857.38,7.61,In Progress
INV-10945,2025-02-24,EMENA,Logistics,27107.9,25512.51,1595.39,5.89,Completed
INV-11045,2025-02-24,Asia,Logistics,15925.59,14386.87,1538.72,9.66,Completed
INV-10032,2025-02-25,Asia,IT Hardware,7727.57,6841.47,886.1,11.47,Completed
INV-10190,2025-02-25,Asia,Raw Materials,145732.46,130375.8,15356.66,10.54,Completed
INV-10404,2025-02-25,EMENA,Professional Services,14021.47,14482.02,-460.55,-3.28,Completed
INV-10608,2025-02-25,Americas,Software Licenses,9683.87,8506.46,1177.41,12.16,Completed
INV-10198,2025-02-26,Americas,Professional Services,29401.21,26854.92,2546.29,8.66,Completed
INV-10969,2025-02-26,Americas,Software Licenses,15194.65,13116.2,2078.45,13.68,Completed
INV-10987,2025-02-26,EMENA,Raw Materials,475395.0,424192.64,51202.36,10.77,Completed
INV-11193,2025-02-26,EMENA,Office Supplies,3983.71,3527.79,455.92,11.44,Completed
INV-10449,2025-02-27,EMENA,Office Supplies,4540.61,3886.27,654.34,14.41,Completed
INV-10532,2025-02-27,EMENA,Office Supplies,3651.85,3299.87,351.98,9.64,Completed
INV-10760,2025-02-27,EMENA,Professional Services,89876.76,77988.27,11888.49,13.23,Completed
INV-11090,2025-02-27,EMENA,Logistics,37840.16,33520.69,4319.47,11.42,Completed
INV-10410,2025-02-28,Asia,Marketing,28505.31,26495.03,2010.28,7.05,Completed
INV-10419,2025-02-28,Asia,Office Supplies,3946.64,3585.66,360.98,9.15,Completed
INV-10860,2025-02-28,EMENA,Professional Services,37025.56,33637.75,3387.81,9.15,Completed
INV-10953,2025-02-28,Asia,Software Licenses,16871.69,16393.98,477.71,2.83,Completed
INV-10989,2025-02-28,Asia,Office Supplies,1421.21,1211.49,209.72,14.76,Completed
INV-11009,2025-03-01,EMENA,Marketing,40923.59,39891.89,1031.7,2.52,Completed
INV-10821,2025-03-02,Asia,Software Licenses,7032.43,6382.25,650.18,9.25,Completed
INV-11203,2025-03-02,Asia,Logistics,6916.64,6144.82,771.82,11.16,Completed
INV-11204,2025-03-02,Americas,Logistics,3239.08,3108.26,130.82,4.04,Completed
INV-10095,2025-03-03,EMENA,Marketing,62936.07,54720.51,8215.56,13.05,Completed
INV-10440,2025-03-03,Asia,Marketing,38380.02,37572.19,807.83,2.1,In Progress
INV-10607,2025-03-03,Asia,Marketing,35690.81,33797.14,1893.67,5.31,In Progress
INV-10793,2025-03-03,Americas,Professional Services,89181.33,82362.56,6818.77,7.65,Pending
INV-11412,2025-03-03,Asia,Logistics,12458.21,11151.15,1307.06,10.49,Completed
INV-11316,2025-03-04,Asia,Software Licenses,18265.99,16924.06,1341.93,7.35,In Progress
INV-10445,2025-03-05,Americas,Office Supplies,1477.6,1275.82,201.78,13.66,Completed
INV-11194,2025-03-05,Americas,Professional Services,66429.06,67588.37,-1159.31,-1.75,Completed
INV-11237,2025-03-05,Asia,IT Hardware,45165.75,39470.92,5694.83,12.61,Completed
INV-11397,2025-03-05,Asia,IT Hardware,31949.61,30027.65,1921.96,6.02,Completed
INV-11430,2025-03-05,Americas,Logistics,2984.57,2690.68,293.89,9.85,Completed
INV-10739,2025-03-06,Americas,Professional Services,30642.04,27091.02,3551.02,11.59,Completed
INV-10764,2025-03-06,EMENA,Professional Services,68011.74,60450.69,7561.05,11.12,Completed
INV-10915,2025-03-06,Americas,Office Supplies,3818.21,3728.3,89.91,2.35,Completed
INV-11003,2025-03-06,Asia,Office Supplies,1190.68,1231.36,-40.68,-3.42,Completed
INV-11225,2025-03-06,Asia,Marketing,12613.21,11109.88,1503.33,11.92,Completed
INV-10676,2025-03-07,Asia,Software Licenses,13297.93,12321.64,976.29,7.34,Completed
INV-11425,2025-03-07,EMENA,Software Licenses,12440.74,11842.52,598.22,4.81,Completed
INV-10050,2025-03-08,Asia,Logistics,33515.23,32652.84,862.39,2.57,Completed
INV-10187,2025-03-08,EMENA,IT Hardware,24434.44,21580.58,2853.86,11.68,Completed
INV-10484,2025-03-08,EMENA,IT Hardware,5538.06,4829.47,708.59,12.79,Completed
INV-10592,2025-03-08,Americas,Raw Materials,62967.3,56105.1,6862.2,10.9,Completed
INV-10931,2025-03-08,Asia,IT Hardware,36863.38,35551.15,1312.23,3.56,Completed
INV-11107,2025-03-08,EMENA,Raw Materials,371103.77,326649.64,44454.13,11.98,Pending
INV-11473,2025-03-08,EMENA,IT Hardware,35102.64,31284.0,3818.64,10.88,Completed
INV-10131,2025-03-09,Americas,Marketing,38153.07,37134.02,1019.05,2.67,In Progress
INV-10436,2025-03-09,Americas,IT Hardware,49632.72,45879.8,3752.92,7.56,Pending
INV-10439,2025-03-09,EMENA,Logistics,26908.44,27612.36,-703.92,-2.62,Completed
INV-10996,2025-03-09,Asia,Marketing,6701.77,6204.84,496.93,7.41,Completed
INV-11209,2025-03-09,Americas,Office Supplies,2197.88,1915.5,282.38,12.85,Completed
INV-10334,2025-03-10,Americas,Logistics,5049.5,4315.61,733.89,14.53,Completed
INV-10725,2025-03-10,Asia,Software Licenses,9986.75,9774.37,212.38,2.13,In Progress
INV-11340,2025-03-10,Asia,Raw Materials,494848.12,456406.14,38441.98,7.77,Completed
INV-10247,2025-03-11,Asia,Logistics,39271.13,36042.69,3228.44,8.22,Completed
INV-11387,2025-03-11,Americas,Marketing,40722.67,35156.84,5565.83,13.67,In Progress
INV-10816,2025-03-12,Asia,Professional Services,30302.44,28349.99,1952.45,6.44,Completed
INV-10955,2025-03-12,Asia,Logistics,14320.93,12217.74,2103.19,14.69,Completed
INV-10606,2025-03-13,Americas,Raw Materials,284893.29,296799.62,-11906.33,-4.18,Pending
INV-10946,2025-03-13,Americas,Logistics,5224.77,4690.47,534.3,10.23,Completed
INV-11197,2025-03-13,Americas,Professional Services,70023.01,61202.89,8820.12,12.6,Completed
INV-11376,2025-03-13,EMENA,IT Hardware,25561.37,22729.68,2831.69,11.08,Completed
INV-10908,2025-03-14,Asia,Professional Services,20184.79,18517.54,1667.25,8.26,Completed
INV-11226,2025-03-14,Americas,Logistics,5188.52,4655.9,532.62,10.27,Completed
INV-11424,2025-03-14,Asia,Software Licenses,14070.68,14748.37,-677.69,-4.82,Completed
INV-10257,2025-03-15,Americas,Raw Materials,410493.19,366027.18,44466.01,10.83,Pending
INV-11093,2025-03-15,Americas,Office Supplies,3867.68,3671.7,195.98,5.07,Completed
INV-11437,2025-03-15,Americas,IT Hardware,35899.63,31853.06,4046.57,11.27,Completed
INV-10847,2025-03-16,EMENA,IT Hardware,13317.8,12956.11,361.69,2.72,Pending
INV-11116,2025-03-16,Americas,Marketing,55789.15,51639.38,4149.77,7.44,Completed
INV-11467,2025-03-16,Asia,Software Licenses,5358.3,5360.87,-2.57,-0.05,Completed
INV-10052,2025-03-17,Asia,Software Licenses,11366.22,9905.69,1460.53,12.85,Completed
INV-11082,2025-03-17,Asia,Marketing,52006.89,47435.74,4571.15,8.79,Completed
INV-11494,2025-03-17,Americas,Software Licenses,9475.06,8386.61,1088.45,11.49,In Progress
INV-10596,2025-03-18,Asia,Software Licenses,10156.66,9077.19,1079.47,10.63,Pending
INV-10113,2025-03-19,EMENA,Logistics,20686.37,18720.9,1965.47,9.5,Completed
INV-10751,2025-03-19,Americas,Professional Services,73042.53,66909.92,6132.61,8.4,Completed
INV-10995,2025-03-19,EMENA,IT Hardware,12414.48,11985.4,429.08,3.46,Pending
INV-11181,2025-03-19,Americas,Marketing,61613.39,57492.46,4120.93,6.69,Completed
INV-10356,2025-03-20,Americas,Raw Materials,470641.21,425794.48,44846.73,9.53,Completed
INV-10379,2025-03-20,EMENA,IT Hardware,17058.74,15874.86,1183.88,6.94,Completed
INV-10870,2025-03-20,EMENA,Logistics,21227.8,18598.24,2629.56,12.39,Completed
INV-11454,2025-03-20,EMENA,IT Hardware,24386.17,23272.19,1113.98,4.57,Completed
INV-10004,2025-03-21,EMENA,Office Supplies,4126.19,3669.18,457.01,11.08,Completed
INV-10738,2025-03-21,Americas,Raw Materials,394248.37,382096.59,12151.78,3.08,Completed
INV-10762,2025-03-21,EMENA,IT Hardware,31148.47,27728.44,3420.03,10.98,Completed
INV-10503,2025-03-22,Asia,Logistics,24268.63,22721.43,1547.2,6.38,Completed
INV-10967,2025-03-22,Americas,IT Hardware,9698.95,9438.83,260.12,2.68,Completed
INV-10974,2025-03-22,Americas,Software Licenses,15446.45,14696.05,750.4,4.86,Completed
INV-11306,2025-03-22,Asia,IT Hardware,12732.16,11054.55,1677.61,13.18,In Progress
INV-10127,2025-03-24,Americas,Professional Services,46751.33,43865.02,2886.31,6.17,Completed
INV-10652,2025-03-24,Americas,Software Licenses,8840.44,7921.29,919.15,10.4,Completed
INV-11103,2025-03-24,Americas,Marketing,36677.45,31564.21,5113.24,13.94,Completed
INV-11426,2025-03-25,Americas,IT Hardware,29743.19,28140.4,1602.79,5.39,Completed
INV-10085,2025-03-26,EMENA,Logistics,14772.92,13173.18,1599.74,10.83,Pending
INV-10478,2025-03-26,EMENA,Software Licenses,15818.8,14300.0,1518.8,9.6,Completed
INV-11184,2025-03-26,Asia,IT Hardware,8815.02,8277.97,537.05,6.09,Completed
INV-11346,2025-03-26,EMENA,Software Licenses,10641.07,9838.61,802.46,7.54,Completed
INV-11482,2025-03-26,Americas,Logistics,28018.38,24288.2,3730.18,13.31,Completed
INV-10414,2025-03-27,Asia,Marketing,73937.07,63512.66,10424.41,14.1,Completed
INV-10511,2025-03-27,EMENA,Marketing,5096.09,4738.49,357.6,7.02,Pending
INV-10528,2025-03-27,EMENA,IT Hardware,47716.47,43976.68,3739.79,7.84,In Progress
INV-10834,2025-03-27,Americas,Logistics,35607.11,31313.68,4293.43,12.06,Completed
INV-10921,2025-03-27,Americas,IT Hardware,33901.75,29894.13,4007.62,11.82,Completed
INV-11001,2025-03-27,Americas,Office Supplies,4304.81,4135.7,169.11,3.93,Completed
INV-11073,2025-03-27,EMENA,Professional Services,54705.83,47840.83,6865.0,12.55,Completed
INV-11228,2025-03-27,EMENA,Office Supplies,2590.93,2259.76,331.17,12.78,Completed
INV-10204,2025-03-29,Asia,Logistics,13001.58,12056.96,944.62,7.27,Pending
INV-11180,2025-03-29,EMENA,Software Licenses,16861.45,15485.96,1375.49,8.16,Completed
INV-10117,2025-03-30,EMENA,Marketing,20826.89,18622.25,2204.64,10.59,Completed
INV-11345,2025-03-30,EMENA,Marketing,79400.94,68127.94,11273.0,14.2,Completed
INV-11410,2025-03-30,EMENA,IT Hardware,15838.49,14515.64,1322.85,8.35,Completed
INV-10177,2025-03-31,EMENA,Professional Services,81098.62,76968.18,4130.44,5.09,Completed
